Respondent,Gender,Age,AOI-Name,Hit time-G (ms),Time spent-G (ms),Time spent-G (%),Respondent ratio-G,Revisit-G (Revisitors),Revisit-G (Visitors),Revisit-G (Revisits),TTFF-F (ms),Time spent-F (ms),Time spent-F (%),Revisit-F (Revisitors),Revisit-F (Visitors),Revisit-F (Revisits),Fixations Count
974770,Male,8,ToM 1 Ball,0,149,2,1,0,0,0,108470,114,1,0,1,0,1
974771,Male,9,ToM 1 Ball,104594,585,6,1,1,1,2,9200,0,0,0,0,0,0
974772,Male,8,ToM 1 Ball,108016,664,7,1,1,1,2,108054,463,5,1,1,2,2
974773,Female,10,ToM 1 Ball,108505,234,3,1,0,1,0,108053,168,2,0,1,0,1
974774,Male,8,ToM 1 Ball,108412,302,3,1,0,1,0,108451,226,2,0,1,0,1
974775,Male,10,ToM 1 Ball,108487,444,5,1,0,1,0,108124,397,4,1,1,2,2
974776,Male,8,ToM 1 Ball,108442,489,5,1,0,1,0,108442,252,3,0,1,0,1
974777,Male,7,ToM 1 Ball,101986,2284,25,1,1,1,3,101986,1022,11,1,1,3,3
974778,Male,10,ToM 1 Ball,108432,264,3,1,0,1,0,108432,224,2,0,1,0,1
974779,Female,7,ToM 1 Ball,108514,624,7,1,0,1,0,108014,642,7,1,1,2,2
974780,Female,9,ToM 1 Ball,108481,309,3,1,0,1,0,108481,193,2,0,1,0,1
974781,Female,6,ToM 1 Ball,108504,347,4,1,0,1,0,108504,268,3,0,1,0,2
974782,Male,7,ToM 1 Ball,108577,392,4,1,0,1,0,108616,119,1,0,1,0,1
974783,Female,7,ToM 1 Ball,108551,337,4,1,0,1,0,108629,169,2,0,1,0,1
974784,Female,8,ToM 1 Ball,107888,551,6,1,1,1,2,107888,263,3,0,1,0,1
974785,Male,10,ToM 1 Ball,108474,278,3,1,0,1,0,108596,123,1,0,1,0,1
974786,Female,8,ToM 1 Ball,107920,667,7,1,1,1,2,108508,370,4,0,1,0,1
974787,Female,5,ToM 1 Ball,108570,553,6,1,0,1,0,108655,289,3,0,1,0,1
974788,Male,9,ToM 1 Ball,108416,677,7,1,0,1,0,108051,858,9,0,1,0,2
974789,Female,7,ToM 1 Ball,108558,777,8,1,1,1,2,108558,493,5,1,1,3,3
974790,Male,7,ToM 1 Ball,103741,613,7,1,1,1,2,103901,284,3,1,1,2,2
974791,Male,7,ToM 1 Ball,108530,249,3,1,0,1,0,108565,178,2,0,1,0,1
974792,Male,5,ToM 1 Ball,108508,723,8,1,1,1,2,109530,230,2,0,1,0,1
974793,Female,8,ToM 1 Ball,108470,396,4,1,0,1,0,108015,434,5,1,1,2,2
974794,Male,8,ToM 1 Ball,107996,385,4,1,1,1,2,108030,366,4,0,1,0,1
974714b,Male,7,ToM 1 Ball,108395,487,5,1,0,1,0,9200,0,0,0,0,0,0
974702,Male,6,ToM1 Eyes,101015,1238,13,1,1,1,5,101563,339,4,1,1,2,2
974705,Female,6,ToM1 Eyes,101127,4479,48,1,1,1,4,101562,1649,18,1,1,7,8
974706,Male,8,ToM1 Eyes,100578,2873,31,1,1,1,9,100578,497,5,1,1,3,4
974706,Female,8,ToM1 Eyes,100578,2873,31,1,1,1,9,100578,497,5,1,1,3,4
974707,Male,7,ToM1 Eyes,100647,3602,39,1,1,1,4,100647,3954,43,1,1,4,6
974708,Male,10,ToM1 Eyes,100516,4637,50,1,1,1,6,100549,4084,44,1,1,7,12
974709,Male,8,ToM1 Eyes,100534,3711,40,1,1,1,4,100534,2975,32,1,1,6,8
974710,Male,6,ToM1 Eyes,101950,3927,42,1,1,1,4,102092,2026,22,1,1,4,8
974711,Female,6,ToM1 Eyes,100561,4084,44,1,1,1,8,101544,2377,26,1,1,7,9
974711,Female,6,ToM1 Eyes,100561,4084,44,1,1,1,8,101544,2377,26,1,1,7,9
974712,Male,8,ToM1 Eyes,101037,3505,38,1,1,1,5,9303,0,0,0,0,0,0
974716,Male,11,ToM1 Eyes,100509,3977,43,1,1,1,6,100509,3265,35,1,1,6,12
974718,Male,11,ToM1 Eyes,101477,2684,29,1,1,1,6,101678,1409,15,1,1,6,7
974719,Male,8,ToM1 Eyes,101047,3377,36,1,1,1,7,101083,1989,21,1,1,10,11
974720,Male,7,ToM1 Eyes,100504,3290,35,1,1,1,7,100849,2839,31,1,1,6,7
974721,Male,8,ToM1 Eyes,100505,4881,52,1,1,1,6,100996,2816,30,1,1,9,15
974722,Male,11,ToM1 Eyes,100589,4169,45,1,1,1,8,100624,3312,36,1,1,9,11
974723,Male,6,ToM1 Eyes,101593,3619,39,1,1,1,4,101629,3269,35,1,1,4,6
974724,Male,10,ToM1 Eyes,100635,3888,42,1,1,1,6,100666,3199,34,1,1,7,11
974725,Female,11,ToM1 Eyes,100566,3221,35,1,1,1,7,100566,2690,29,1,1,7,9
974726,Male,12,ToM1 Eyes,100524,1922,21,1,1,1,4,102230,1421,15,1,1,3,4
